OrderId,Longitude,Latitude
1,35.690403,32.993426
2,35.690621,32.993241
3,35.691124,32.9928
4,35.691214,32.992722
5,35.69135,32.992601
6,35.691663,32.99233
7,35.69174,32.99225
8,35.6919,32.992129
9,35.692164,32.991912
10,35.6923,32.991811
11,35.692896,32.991427
12,35.693377,32.991162
13,35.693375,32.991155
14,35.693374,32.991146
15,35.693376,32.991137
16,35.693379,32.991129
17,35.693384,32.991121
18,35.69339,32.991114
19,35.693398,32.991108
20,35.693408,32.991104
21,35.693281,32.990873
22,35.693225,32.990736
23,35.693174,32.990589
24,35.693128,32.990397
25,35.693126,32.990387
26,35.693084,32.990143
27,35.693068,32.989856
28,35.693087,32.989645
29,35.693157,32.989274
30,35.693211,32.989009
31,35.693237,32.988862
32,35.693278,32.988661
33,35.693303,32.988396
34,35.693295,32.987852
35,35.693257,32.987727
36,35.693248,32.98773
37,35.693209,32.987732
38,35.693179,32.987725
39,35.693152,32.987711
40,35.693136,32.987699
41,35.692511,32.98793
42,35.69213,32.988073
43,35.691457,32.988326
44,35.691199,32.988425
45,35.68957,32.989049
46,35.688853,32.989327
47,35.688852,32.989352
48,35.688834,32.989387
49,35.688822,32.989399
50,35.688806,32.989415
51,35.688776,32.989432
52,35.688743,32.989442
53,35.688691,32.989443
54,35.688686,32.989441
55,35.688649,32.989431
56,35.688614,32.989408
57,35.688606,32.989399
58,35.686933,32.989767
59,35.686265,32.989914
60,35.685906,32.989995
61,35.685826,32.990075
62,35.685793,32.99012
63,35.685773,32.990173
64,35.685759,32.990265
65,35.685824,32.990517
66,35.685867,32.990782
67,35.685907,32.991013
68,35.685978,32.991477
69,35.686086,32.992072
70,35.686247,32.993077
71,35.686284,32.993241
72,35.68638,32.99375
73,35.686494,32.994317
74,35.68664,32.994758
75,35.686809,32.995037
76,35.686872,32.995135
77,35.687047,32.995382
78,35.687176,32.995539
79,35.687191,32.995537
80,35.687207,32.995536
81,35.687223,32.995537
82,35.687238,32.99554
83,35.68726,32.995547
84,35.687274,32.995553
85,35.687287,32.995561
86,35.687304,32.995576
87,35.687317,32.995592
88,35.687324,32.995604
89,35.687329,32.995617
90,35.687332,32.995632
91,35.687333,32.995644
92,35.687332,32.995657
93,35.687327,32.995676
94,35.687321,32.995689
95,35.687314,32.995701
96,35.687299,32.995717
97,35.687282,32.99573
98,35.687268,32.995737
99,35.687254,32.995743
100,35.687239,32.995748
101,35.687224,32.99575
102,35.687208,32.995752
103,35.687197,32.995751
104,35.686671,32.996217
105,35.686542,32.996355
106,35.686212,32.996681
107,35.686045,32.996846
108,35.686033,32.99686
109,35.684946,32.99805
110,35.683926,32.999166
111,35.683048,33.000126
112,35.682955,33.000152
113,35.682936,33.000152
114,35.682858,33.000152
115,35.682732,33.00011
116,35.682448,32.999898
117,35.681889,32.999506
118,35.68176,32.999406
119,35.681596,32.999275
120,35.68141,32.999088
121,35.680999,32.998479
122,35.680895,32.998301
123,35.680674,32.997892
124,35.680339,32.997309
125,35.68,32.99686
126,35.679507,32.996347
127,35.67904,32.995952
128,35.678542,32.995541
129,35.678071,32.995118
130,35.678058,32.995126
131,35.67804,32.995134
132,35.678021,32.995138
133,35.678001,32.99514
134,35.677981,32.995139
135,35.677962,32.995135
136,35.677944,32.995128
137,35.677928,32.995119
138,35.677914,32.995107
139,35.677904,32.995094
140,35.677896,32.995079
141,35.677892,32.995063
142,35.677892,32.995048
143,35.677896,32.995032
144,35.677903,32.995017
145,35.677913,32.995005
146,35.677927,32.994992
147,35.677943,32.994983
148,35.677955,32.994978
149,35.677967,32.994974
150,35.677987,32.994971
151,35.678,32.99497
152,35.678014,32.994971
153,35.678033,32.994975
154,35.678052,32.994981
155,35.678063,32.994987
156,35.678071,32.994992
157,35.678078,32.994997
158,35.678086,32.995005
159,35.678096,32.995019
160,35.678101,32.995029
161,35.678105,32.995039
162,35.678107,32.995057
163,35.678106,32.995065
164,35.678103,32.995076
165,35.678097,32.995091
166,35.678087,32.995104
167,35.678078,32.995113
168,35.678071,32.995118
169,35.678542,32.995541
170,35.67904,32.995952
171,35.679507,32.996347
172,35.68,32.99686
173,35.680316,32.996696
174,35.68152,32.996295
175,35.681824,32.996203
176,35.681903,32.996185
177,35.682427,32.996048
178,35.683574,32.995673
179,35.683543,32.995529
180,35.683485,32.99505
181,35.683465,32.994887
182,35.683437,32.994694
183,35.683405,32.994572
184,35.683392,32.994529
185,35.683364,32.994436
186,35.683314,32.99431
187,35.683276,32.994213
188,35.683145,32.993972
189,35.683031,32.993821
190,35.68283,32.993591
191,35.682657,32.993419
192,35.682496,32.993266
193,35.68241,32.993206
194,35.682214,32.99307
195,35.681725,32.992811
196,35.681115,32.992486
197,35.681355,32.992231
198,35.681585,32.992008
199,35.681935,32.991669
200,35.682365,32.991346
201,35.682863,32.99106
202,35.683308,32.990789
203,35.684109,32.990421
204,35.684117,32.990418
205,35.684616,32.990252
206,35.684927,32.990137
207,35.685118,32.990081
208,35.685294,32.990032
209,35.685641,32.989959
210,35.686915,32.989686
211,35.688582,32.989284
212,35.688587,32.989267
213,35.688619,32.989231
214,35.688664,32.989208
215,35.688685,32.989204
216,35.688716,32.9892
217,35.688759,32.989206
218,35.688798,32.989223
219,35.68881,32.989234
220,35.688829,32.98925
221,35.688846,32.989277
222,35.688855,32.989306
223,35.688853,32.989327
224,35.688852,32.989352
225,35.688834,32.989387
226,35.688822,32.989399
227,35.688892,32.9901
228,35.688907,32.990213
229,35.688918,32.990295
230,35.689024,32.99107
231,35.689091,32.991566
232,35.689117,32.991741
233,35.68913,32.991832
234,35.689208,32.992359
235,35.68922,32.992442
236,35.689268,32.99261
237,35.689301,32.992723
238,35.689544,32.993354
239,35.689743,32.993697
240,35.689805,32.993804
241,35.689812,32.993803
242,35.68985,32.993811
243,35.68987,32.993823
244,35.689885,32.993838
245,35.689901,32.993856
246,35.689915,32.993892
247,35.689914,32.99391
248,35.689911,32.99392
249,35.689937,32.993952
250,35.689976,32.993999
251,35.690259,32.994407
252,35.69049,32.994737
253,35.690551,32.994809
254,35.69065,32.994847
255,35.690708,32.994864
256,35.690781,32.994863
257,35.690896,32.994834
258,35.69107,32.994662
259,35.691748,32.994006
260,35.692253,32.993523
261,35.692466,32.993327
262,35.692883,32.993003
263,35.693513,32.992542
264,35.694223,32.992169
265,35.698076,32.990169
266,35.698797,32.989797
267,35.700115,32.989007
268,35.700401,32.988872
269,35.70046,32.988844
270,35.700684,32.988737
271,35.703729,32.987241
272,35.703723,32.987223
273,35.703722,32.987204
274,35.703725,32.987184
275,35.703731,32.987166
276,35.703742,32.987149
277,35.703752,32.987138
278,35.703758,32.987133
279,35.703768,32.987125
280,35.703781,32.987117
281,35.703795,32.987111
282,35.703809,32.987107
283,35.703824,32.987104
284,35.703839,32.987102
285,35.703855,32.987102
286,35.70387,32.987104
287,35.703885,32.987107
288,35.703899,32.987112
289,35.703913,32.987119
290,35.703925,32.987126
291,35.704567,32.986807
292,35.705113,32.986521
293,35.705684,32.98622
294,35.706964,32.985526
295,35.707334,32.985342
296,35.707718,32.985139
297,35.708727,32.984666
298,35.709156,32.984462
299,35.709915,32.984077
300,35.710562,32.983883
